Pengembangan Aplikasi Mobile Penentuan Kelayakan Konsumsi Daging;Sri Winiarti, S.T., M.Cs.;Adhi Prahara, S.Si., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Pengembangan Aplikasi mobile perwalian dan informasi ruangan untuk dosen menggunakan metode test driven development (TDD);Herman Yuilansyah, S.T., M.Eng.;Dr. Imam Riyadi, M.Kom.;Sri Winiarti, S.T., M.Cs.
Pengembangan Aplikasi Mobile Sistem Pelacakan Laporan Kejahatan Online Menggunakan Metode Test Driven Development;Fiftin Noviyanto, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Pengembangan Aplikasi Mobile Untuk Konsultasi Obat Pasien dengan Metode Penalaran Berbasis Kasus;Sri Winiarti, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Aplikasi mobile untuk mahasiswa UAD menggunakan metode test driven development (TDD);Herman Yuilansyah, S.T., M.Eng.;Dr. Imam Riyadi, M.Kom.;Sri Winiarti, S.T., M.Cs.
Pengembangan APlikasi Mobile UNtuk Menghitung Statistik Performa Pertandingan Dengan Metode Prototyping Pada UKM Sepak Bola UAD;Herman Yuliansyah, S.T., M.Eng.;Eko Aribowo, S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.
Pengembangan Aplikasi Mutaba'ah Untuk Evaluasi Ibadah Harian Berbasis Android;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Pengembangan Aplikasi Pengelolaan Publikasi Dan Pendaftaran Acara Kampus Berbasis Android;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Pengembangan Aplikasi Pos Mikro Berbasis Mobile Android Untuk Bisnis Waralaba;Ardiansyah, S.T., M.Cs.;Mushlihudin, S.T., M.T.;Eko Aribowo, S.T., M.Kom.
Pengembangan Aplikasi Program Interface Service  Management Operasional Masjid Pada System E-Masjid;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Pengembangan Aplikasi Reservasi Tiket Berbasis Web Service Pada Perusahaan Travel di Yogykarta;Fiftin Novianto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Aplikasi Sistem Pakar Diagnosa Hewan Peliharaan Berbasis Mobile;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pengembangan Aplikasi Sistem Pakar Untuk Diagnosa Penyakit Anak Menggunakan Metode Demster Shafer Berbasis Web.;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Pengembangan APlikasi Untuk Stamming Pada Kata Dalam Bahasa Jawa Menggunakan Algoritma Porter;Dewi Soyusiawaty, S.T., M.T.;Dewi Pramudi Ismi, S.T., M.CompSc;Andri Pranolo, S.T., M.Cs.
Pengembangan Aplikasi Web Mobile Percakapan Bahasa Korea Berbasis Lokasi Menggunakan Foursquare API;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Aplikasi Web Untuk Menghitung Nilai Effort Rate (EF) pada tugas proyek mahasiswa dengan metode use case point (UCP);Herman Yuliansyah, S.T., M.Eng.;Nur Rochmah DPA, S.T., M.Kom..;Fiftin Noviyanto, S.T., M.Cs.
"Pengembangan Backend Aplikasi ""E-Toke"" Untuk Menjamin Validasi Pendapatan Petani Karet";Fiftin Noviyanto, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Taufiq Ismail, S.T., M.Cs.
Pengembangan E-Government Menuju Tahap Interaksi di Disperindagkop Bantul dengan Pendekatan SIG pada Sentra Industri Kerajinan;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Pengembangan E-Marketplace DI Dinas Tanaman Pangan dan Hortikultura Gunungkidul Sebagai Sarana Perluasan Pasar Olahan Makanan Untuk Asosiasi Pengolah Makanan Olahan (ASPEMAKO) Gunungkidul;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengembangan E-Masjid Sebagai Media Operasional Masjid Berbasis Native Mobile;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Pengembangan Isyarat Tooltip Untuk Meningkatkan Performa Membaca Pada Buku Elektronik (E-Book);Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Pengembangan Kakas Estimasi Perangkat Lunak Dengan Function Point Dan Use Case Point Untuk Praktikum Rekayasa Perangkat Lunak;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Rusydi Umar, S.T., M.T., Ph.D.
Pengembangan Komponen & Module CMS Open Source Pembuatan Aplikasi Hadist dan Terjemah;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.;Hasanudin, S.T., M.Cs
Pengembangan Kualitas Layanan Website Dengan Menggunakan Metode Analisis Webqual 4.0 (Studi Kasus : LPM);Nur Rochmah DPA, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Media Pembelajaran Interaktif IPA Berbasis Multimedia Di Sekolah Dasar Negeri Glagah Yogyakarta;Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Media Pembelajaran Matematika Kelas 4 Pada Pokok Bahasan KPK Dan FPB berbasis Multimedia Menggunakan Macromedia Flash Di SDIT Al Hakim Yogyakarta;Drs. Wahyu Pujiyono, M.Kom.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Pengembangan Media Pembelajaran Penggunaan Tanda Baca Dalam Menyusun Karangan Pada Siswa Kelas IV SD IT Lukman Al-Hakim;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Pengembangan Media Pembelajaran Penggunaan Turunan Pada Mata Kuliah Kalkulus 1 Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ardi Pujiyanta, M.T
Pengembangan Media Pembelajaran Perancangan Menara Distilasi Multikomponen Berbasis Multimedia;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Media Pembelajaran Sistem Pelacakan Pada Mata Kuliah Kecerdasan Buatan Berbasis Multimedia;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Ardi Pujiyanta, M.T
Pengembangan Media Pembelajran Instalasi Jaringan Komputer dan Internet Berbasis Multimedia Interaktif;Mushlihuddin, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Pengembangan Media Pmbelajaran Algoritma Kriptografi Product Cipher Termodifikasi Berbasis web;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Pengembangan Model Layanan Informasi Pajak Bumi dan Bangunan Berbasis Mobile, SK Kab. Sleman;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Modul Enkripsi & Dekripsi pada Pemrograman PHP dengan Metode CBC Termodifikasi;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Pengembangan Modul Enkripsi dan Dekripsi Menggunakan Algoritma Kriptografi CBC dan Rivest Code 4 Berbasis PHP;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Modul Enkripsi dan Dekripsi pada PHP dengan Modifikasi Metode Kriptografi Vigenere Cipher dan Cipher Block Chaining (SK : Geekybyte.com);Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Modul PHP Untuk ENkripsi dan Dekripsi dengan Mode Gybrid Kriptografi Chiper Clock Chainning dan Algoritma Rivest Shamir Adieman (RSA);Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.
Pengembangan Modul PHP untuk penyisipan informasi dengan Metode LSB;Eko Aribowo, S.T., M.Kom.;Dr. Imam Riyadi, M.Kom.;Nuril Anwar, S.T., M.Kom.
Pengembangan Multimedia Edukasi Investasi Berbasis Reksadana di Lingkungan Masyarakat;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Pengembangan Multimedia Interaktif Mata Pelajaran Kimia Pada ateri Hidrolis Garam Untuk SMA/MA Kelas XI;Dewi Soyusiawati, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Pengembangan Native Front-End Aplikasi Pembaca Skripsi Di Perpustakaan Kampus II UAD Menggunakan Android Tablet;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Radio Streaming Berbasis Web ( Studi Kasus di Majelis Pustaka dan Informasi PP Muhammadiyah);Dr. Imam Riyadi, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan SI Administrasi Kependudukan untuk Penyusunan Profil Kependudukan pada Kantor Kecamatan patikraja Kabupaten Banyumas.;Nur Rochmah DPA, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Pengembangan SI Perpustakaan Sekolah Muhammadiyah di Yogyakarta Berbasis Web Service;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan SI Promosi Produk PT. Glopina Berbasis Web Menggunakan framework YII;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
Pengembangan SI Tracer Study Alumni UAD Berbasis Web (Studi Kasus FTI);Drs. Tedy Setiadi, M.T.;Tawar AG, S.Si., M.Kom.;Sri Handayaningsih, S.T., M.T.
Pengembangan SIG Wisata Kuliner Berbasis Web (Studi Kasus di Kabupaten Klaten);Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Sistem Administrasi Sekolah Berbasis Web (Studi Kasus : SMA Taman Madya Ibu Pawiyatan Taman Siswa YK);Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Sistem Authoring Tools untuk jurnal Ilmiah Berbasis Web;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Pengembangan Sistem Informasi dan administrasi Kependudukan Multiuser;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Sistem Informasi Eksekutif Pada Modul Evaluasi Kinerja Dosen Menggunakan Data Service dari SIA dan SDM;Fiftin Noviyanto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom;Sri Handayaningsih, S.T., M.T.
Pengembangan Sistem Informasi Geografi Untuk Pariwisata dan Budaya di Lombok;Drs. Tedy Setiadi, M.T.;Muhammad Aziz, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Pengembangan Sistem Informasi Geografis Pariwisata Daerah Istimewa Yogyakarta berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Sistem Informasi Geografis Pemetaan Tingkat Ekonomi Posdaya Berbasis Website;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Pengembangan Sistem Informasi Kelurahan (SIK) dengan Berbasis Web.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Sistem Informasi Kependudukan dengan Berorientasi Objek;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Sistem Informasi Manajermen Penyelenggaraan Pertandingan Pencak Silat Tapak Suci;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Sistem Informasi Obat Berdasar ISO berbasis Web dengan metode Object Oriected;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan Sistem Informasi Pernikahan di Badan Penasehat Perkawinan (BP4) di antor Urusan Agama (KUA) Sewon bantul Berbasis Web.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Pengembangan Sistem Inventarisasi Seni dan Budaya Pada Pengurus Daerah Muhammadiyah;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Pengembangan Sistem Kerja Indeks Kinerja Dosen Dengan Memanfaatkan Rest API Untuk Mengetahui Kinerja Dosen Di Universitas Ahmad Dahlan Yogyakarta;Fiftin Noviyanto, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Sistem Komplain Berbasis Mobile;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Pengembangan sistem konsultasi nutrisi bayi berbasis android;Sri Winiarti, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Sistem Layanan Legalisasi Ijazah dan Transkrip Akademik Menggunakan Teknologi Web Service dan Framework;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Pengembangan Sistem Manajemen Presensi Rapat menggunakan QR Code Pada Android;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
pengembangan sistem pakar gangguan kejiwaan berbasis web menggunakan metode Demspter shafer;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Pengembangan Sistem Penentuan Jabatan Struktural dan Penempatan Wali Kelas Pada SMK Batur Jaya 1 Klaten;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pengembangan Sistem Pengelolaan Pelangan Pada Aplikasi Pos Mikro;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Mushlihuddin, S.T., M.T.
Pengembangan Sistem Temu Balik Informasi dengan Metode TF-IDF Untuk Pencarian Laporan Temuan Audit Mutu Internal Universitas Ahmad Dahlan;Dewi Soyusiawaty, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan UI/UX Sistem Informasi Ruang Dengan Metode UCD;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengembangan User Experience (UX) dan User Interface (UI) Aplikasi Sistem Manajemen Perpustakaan Desa Berbasis Mobile;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan User Experience (UX) dan User Interface (UI) Sistem Manajemen Sengketa Informasi Komisi Informasi Provinsi DIY;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Muh. Aziz, M.Cs.
Pengembangan User Experience dan User Interface Aplikasi I Gometer Taksi;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan User Experience Website Design dengan Teknologi Flat and Adaptif Design Studi Kasus Store and Marketplace Website Menggunakan Knasei Engineering Concept;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengembangan User Experience(UX) dan User Interface (UI) Aplikasi Tabloo Sebagai Pembaca Skripsi Di Perpustakaan Kampus III UAD Menggunakan Tablet;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Eko Aribowo, S.T., M.Kom.
Pengembangan User Experiene (UX) dan User Interface (UI) Aplikasi Mobile Learning Untuk Pembelajaran Rambu Lalu Lintas Pada Anak Usia 4-7 Tahun;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Pengembangan User Interface (UI) dan User eksperince (UX) Pada Aplikasi I Beauty;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pengembangan User Interface (UI) dan User Experience (UX) Aplikasi Cashoop untuk Pengelolaan Keuangan Pribadi;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan User Interface (UI) dan User Experience (UX) Aplikasi Mobil Alert Notification Untuk Mempercepat Pemenuhan Kebutuhan darah Pasien IGD Berbasis Social Network & Location Based Service;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan User Wxperience (UX) dan User Interface (UI) Manajemen Perpustakaan Desa;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan UX (user Experience) dan UI (User Interface) Aplikasi Manajemen Personal Goal Eracking dan Schedulling Berbasis Web;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom;Fiftin Noviyanto, S.T., M.Cs.
Pengembangan UX dan UX Untuk Aplikasi e-Reader Skripsi Berbasis HTML5;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Taufiq Ismail, S.T., M.Cs.
Pengembangan Web Admin Dan Backend Web Services Untuk Aplikasi Manajemen Presensi Rapat;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan web Service Backend Aplikasi Pembaca Skripsi Perpustakaan Kampus III Universitas Ahmad Dahlan;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Web Service Backend untuk Aplikasi Pemesanan Menu Restoran;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengembangan Web Service dan Oauth 2.0 Portal Prodi;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengembangan Web Service Pos Mikro Berbasis Software ASA Service Dengan Arsitektur Multitenancy Pada Bisnis Waralaba;Ardiansyah, S.T., M.Cs.;Mushlihudin, S.T., M.T.;Eko Aribowo, S.T., M.Kom.
Pengembangan Web service Sebagai Media Pertukaran Data Aplikasi Scrum Proyek Manajemen Dengan Teknologi Restful;Herman Yuliansyah, S.T., M.Eng.;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Pengembangan Web Service Sistem Diagnosa Resep Obat Tradisional Dengan Metode Rest;Fiftin Noviyanto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Pengembangan Web Service Sistem Menggunakan Metode Rest Untuk e-Office Pengolahan Surat;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.
Pengembangan Web Service Sistem Penentuan Masa Tanam Dan Optimasi Harga Panen Berdasarkan Data Service Dari BMKG Dan Dinas Perdagangan Dengan Metode REST;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Drs. Tedy Setiadi, M.T.
Pengembangan Web Servicer Backend Untuk Aplikasi Pemesanan Taxi Menggunakan Layanan Berbasis Lokasi Pada Perusahaan Kawan Taxi Yogyakarta;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Pengenalan dan Pembelajaran Sandi-Sandi Pramuka dengan Media Pembelajaran Interaktif Berbasis Multimedia;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Pengenalan dan Perkembangan TIK dalam bentuk media pembelajaran berbasis multimedia untuk SD kelas II;Sri Winiarti, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Pengenalan Olah Raga Tenis Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Pengenalan Pola Golongan Darah Pada Manusia Menggunakan Jaringan Saraf Tiruan Dengan Metode Backpropagation;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Penggunaan Algoritma Asosiasi Apriori untuk mencari Hubungan keaktifan, Kelulusan dan Karir Mahasiswa.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Penggunaan Algoritma FP-Growth dalam data Mining pada data Transaksi Penjualan Obat di Apotek;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Penggunaan Metode Binary Search Pada Translator Bahasa Indonesia - Bahasa Berau Berbasis Mobile;Dewi Soyusiawaty, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Penggunaan Metode Pra-Sunting Pada Kamus Bahasa Indonesia-Jawa Berbasis Mobile;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Anna Hendri SJ, S.Kom, M.Cs.
Penggunaan Operator Prewitt untuk Proses Seleksi Kemasan Minuman Kaleng;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Pengukuran E-Readiness Dosen UAD Dalam Perkuliahan Berbasis E-Laerning;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengukuran E-Readiness Dosen Yogyakarta dalam Perkuliahan Berbasis E-Learning;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengukuran E-Readiness Mahasiswa Informatika /Komputer Yogyakarta dalam Perkuliahan Berbasis E-Learning;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Pengukuran E-Readiness Mahasiswa pada Penerapan E-Learning UAD;Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Pengukuran E-Readiness Mahasiswa Teknik Yogyakarta dalam Perkuliahan Berbasis E-Learning;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Pengukuran Kepuasan Pemustaka Terhadap Kualitas Pelayanan Perpustakaan Universitas Ahmad Dahlan Yogyakarta Menggunkan Metode Customer Satisfaction Index (CSI);Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Pengukuran Kesuksessan Sistem Informasi Ketenagakerjaan Pada Pusat Pengembangan Karir UNY Menggunakan Model Delone and Mclean;Sri Handayaningsih, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Pengukuran Kesuksessan Sistem Informasi Pada Sistem Informasi Ketenagakerjaan Dan Pengembangan Karir UNY Menggunakan Model Delone and Mclean;Sri Handayaningsih, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Pengukuran kualitas perangkat lunak Cashoop dengan menggunakan Metode McCall;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Pengukuran Performa Membaca Buku Elektronik (E-Book) Berbasis PDF (Portable Document Format) Dan Hypertextboox;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Pengukuran Sistem Informasi Dengan Metode Technology Acceptance Model (TAM) Pada Sistem Ketenagakerjaan Dan Pengembangan Karir UNY;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Pengukuran Tingkat Kesuksesan Sistem Informasi Apotek Rumah Sakit Pura Raharja Dengan Pendekatan Model Delone Dan Mclean;Sri Handayaningsih, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Pengukuran Tingkat Kesuksesan Sistem Informasi Dengan Metode deLone dan Mclean (Studi kasus portal uad);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengukuran Tingkat Penerimaan Teknologi Pada Penggunaan Sistem Informasi Perpustakaan Daerah Menggunakan Model Technology Acceptence Model (TAM);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Pengukuran Usability Sistem Informasi Sistem Informasi Indeks Kinerja Dosen Fakultas Teknologi Industri Universitas Ahmad Dahlan;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Peningkatan Mutu Kontras (Intensitas) Citra Digital Menggunakan Gabungan Teknik Penggeseran dan Teknik Histogram;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T.
Penterjemah Bahasa Indonesia - Melayu Rokan dan Sebaliknya dilengkapi dengan Pemeriksa Kalimat Ambigu Berbasis Web;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Penyusunan Aturan Produksi Pencarian Informasi Museum;Dewi Soyusiawati, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Adhi Prahara, S.Si., M.Cs.
Peran Parsing Pada Perubahan Struktur Kalimat Dalam Pembuatan Aplikasi Terjemahan Bahasa Indonesia Ke Bahasa Bima Dan Sebaliknya;Dewi Soyusiawati, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Taufiq Ismail, S.T., M.Cs.
Peranan Fotografi Dalam Penyajian Informasi Pariwisata di Provinsi Yogyakarta Melalui Sistem Informasi Geografis;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
